target_lastauthor_year,type,short_cite,write_up_link,github_link,on_turk,repeated_measure,N,test_description,raw_stat,same_direction,MCF_rep_score,TA_rep_score,replication_score,closeness,pre-registration,comments,cost,Checked links?,name_pretty,sensitivity,include,journal,target_cite,article_link,study_number,subfield,target_year,stanford_internal,open_data,open_materials,within_between,single_vignette
craig2014,original,craig2014,https://journals.sagepub.com/doi/full/10.1177/0956797614527113,NA,yes,1,121,"racial shift v ""allay concerns"" articles on overall (conservative ) policy attitudes","MSE2: m1=.15 (.06), m2=-.08(.06)",yes,NA,NA,NA,NA,NA,note: this excludes control condition with they include in omnibuses,NA,TRUE,Craig & Richeson 2014,exp,stats,Psych Sci,"Craig, M. A., & Richeson, J. A. (2014). On the precipice of a “majority-minority” America: Perceived status threat from the racial demographic shift affects White Americans’ political ideology. Psychological science, 25(6), 1189-1197.",https://journals.sagepub.com/doi/full/10.1177/0956797614527113,3a,social,2014,yes,yes,yes,between,1
craig2014,rep1,king2021,https://rpubs.com/staciaking/craig2014,https://github.com/psych251/craig2014,yes,1,76,"racial shift v ""allay concerns"" articles on overall (conservative ) policy attitudes","MSD2: m1=.271 (3.51), m2=-.721 (3.82)",yes,0,0,0,exact,NA,note: this excludes control condition with they include in omnibuses,NA,TRUE,Craig & Richeson 2014,exp,stats,Psych Sci,"Craig, M. A., & Richeson, J. A. (2014). On the precipice of a “majority-minority” America: Perceived status threat from the racial demographic shift affects White Americans’ political ideology. Psychological science, 25(6), 1189-1197.",https://journals.sagepub.com/doi/full/10.1177/0956797614527113,3a,social,2014,yes,yes,yes,between,1
craig2014,rescue,gupta2023,https://rpubs.com/vboyce/craig2014_rescue,https://github.com/psych251/craig2014_rescue/tree/main,yes,1,127,"racial shift v ""allay concerns"" articles on overall (conservative ) policy attitudes","MSD2: m1=-.4307766 (3.529429), m2=.4463469 (3.848955)",no,0,0,0,exact,https://osf.io/4gtuq,NA,367.99,TRUE,Craig & Richeson 2014,exp,stats,Psych Sci,"Craig, M. A., & Richeson, J. A. (2014). On the precipice of a “majority-minority” America: Perceived status threat from the racial demographic shift affects White Americans’ political ideology. Psychological science, 25(6), 1189-1197.",https://journals.sagepub.com/doi/full/10.1177/0956797614527113,3a,social,2014,yes,yes,yes,between,1
gong2019,original,gong2019,https://academic.oup.com/psychsocgerontology/article-abstract/74/3/440/3988023,NA,no,28,155,age x donation x kinship,"F(1,134) = 4.03",NA,NA,NA,NA,NA,NA,"original also included other measures, such as cognitive assessment; To probe the three-way interaction, post hoc tests revealed that (a) 
older adults (vs. younger adults) were less generous to nonrelatives, 
t(145) = 8.70, p < .001, but equally generous to relatives, t(148) = 
1.54, p = .13, in monetary donation; (b) older adults (vs. younger 
adults) were less generous to nonrelatives, t(144) = 2.10, p < .05, 
but more generous to relatives, t(145) = 3.22, p < .001, in time 
donation.",NA,TRUE,Gong et al. 2019,NA,exp,The Journals of Gerontology: Series B,"Gong, X., Zhang, F., & Fung, H. H. (2019). Are older adults more willing to donate? The roles of donation form and social relationship. The Journals of Gerontology: Series B, 74(3), 440-448.",https://academic.oup.com/psychsocgerontology/article-abstract/74/3/440/3988023,1.0,social,2019,no,no,no,mixed,0
gong2019,rep1,shavit2017,http://rpubs.com/Yochais/341415,https://github.com/psych251/gong2017,yes,28,90,age x donation x kinship,"F(1,70)=.06",yes,0,0,0,far,NA,trying really hard to eyeball these plots; looking at plot at very bottom of write -up; older's less likely to donate is smallest for rel-time?,NA,TRUE,Gong et al. 2019,NA,exp,The Journals of Gerontology: Series B,"Gong, X., Zhang, F., & Fung, H. H. (2019). Are older adults more willing to donate? The roles of donation form and social relationship. The Journals of Gerontology: Series B, 74(3), 440-448.",https://academic.oup.com/psychsocgerontology/article-abstract/74/3/440/3988023,1.0,social,2019,no,no,no,mixed,0
gong2019,rescue,uricher2023,https://rpubs.com/vboyce/gong_rescue,https://github.com/psych251/gong2019_rescue,yes,28,137,"2 (age: younger vs older) × 2 (donation form: money vs time) × 2 (kinship: relatives vs non-relatives) mixed design, repeated measures ANOVA of transformed individual AUC values, with demographic variables as control + post-hoc tests if applicable","F(1,113)=6.2934750",no,0,0,0,far,https://osf.io/c8f7k,older's less likely to donate is smallest for rel-money?,380.76,TRUE,Gong et al. 2019,NA,exp,The Journals of Gerontology: Series B,"Gong, X., Zhang, F., & Fung, H. H. (2019). Are older adults more willing to donate? The roles of donation form and social relationship. The Journals of Gerontology: Series B, 74(3), 440-448.",https://academic.oup.com/psychsocgerontology/article-abstract/74/3/440/3988023,1.0,social,2019,no,no,no,mixed,0
haimovitz2016,additional,takada2021,https://rpubs.com/metakada/haimovitz2016,https://github.com/psych251/haimovitz2016_2,yes,1,115,debilitating > enhancing -> concern,t(113) = -1.9291,yes,0.5,0.5,0.5,very close,NA,smaller N?,NA,TRUE,Haimovitz & Dweck 2016,NA,stats,Psych Sci,"Haimovitz, K., & Dweck, C. S. (2016). What predicts children’s fixed and growth intelligence mind-sets? Not their parents’ views of intelligence but their parents’ views of failure. Psychological science, 27(6), 859-869.",https://pdfs.semanticscholar.org/7172/b578bfc9a77fbcd34c8e2417b674977f73fc.pdf?te=1&nl=nyt-parenting&emc=edit_ptg_20200108,4.0,social,2016,yes,no,yes,between,1
haimovitz2016,original,haimovitz2016,https://pubmed.ncbi.nlm.nih.gov/27113733/,NA,yes,1,132,priming condition in performance and learning oriented responses; debilitating > enhancing -> performance,t(131) = 3.246,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Haimovitz & Dweck 2016,NA,stats,Psych Sci,"Haimovitz, K., & Dweck, C. S. (2016). What predicts children’s fixed and growth intelligence mind-sets? Not their parents’ views of intelligence but their parents’ views of failure. Psychological science, 27(6), 859-869.",https://pdfs.semanticscholar.org/7172/b578bfc9a77fbcd34c8e2417b674977f73fc.pdf?te=1&nl=nyt-parenting&emc=edit_ptg_20200108,4.0,social,2016,yes,no,yes,between,1
haimovitz2016,rep1,born2017,http://rpubs.com/barbaraborn/Haimovitz2016_Final,https://github.com/psych251/Haimovitz2016,yes,1,97,priming condition in performance and learning oriented responses,t(93) = -1.93,no,0,0,0,exact,NA,NA,NA,TRUE,Haimovitz & Dweck 2016,NA,stats,Psych Sci,"Haimovitz, K., & Dweck, C. S. (2016). What predicts children’s fixed and growth intelligence mind-sets? Not their parents’ views of intelligence but their parents’ views of failure. Psychological science, 27(6), 859-869.",https://pdfs.semanticscholar.org/7172/b578bfc9a77fbcd34c8e2417b674977f73fc.pdf?te=1&nl=nyt-parenting&emc=edit_ptg_20200108,4.0,social,2016,yes,no,yes,between,1
haimovitz2016,rescue,mon2023,https://rpubs.com/ksmon/1180187,https://github.com/psych251/haimovitz_rescue,yes,1,141,prime on performance oriented,t(129.45)=-0.31382,yes,0,0,0,exact,https://osf.io/ehkrj,NA,318.41,TRUE,Haimovitz & Dweck 2016,NA,stats,Psych Sci,"Haimovitz, K., & Dweck, C. S. (2016). What predicts children’s fixed and growth intelligence mind-sets? Not their parents’ views of intelligence but their parents’ views of failure. Psychological science, 27(6), 859-869.",https://pdfs.semanticscholar.org/7172/b578bfc9a77fbcd34c8e2417b674977f73fc.pdf?te=1&nl=nyt-parenting&emc=edit_ptg_20200108,4.0,social,2016,yes,no,yes,between,1
hopkins2016,original,hopkins2016,https://www.sciencedirect.com/science/article/pii/S0010027716301585,NA,yes,12,147,explanation-level -> rating,"MSD2: m1=1.118243 (.8510678), m2=1.397260 (.7516084)",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Hopkins et al. 2016,NA,pred_int,Cognition,"Hopkins, E. J., Weisberg, D. S., & Taylor, J. C. (2016). The seductive allure is a reductive allure: People prefer scientific explanations that contain logically irrelevant reductive information. Cognition, 155, 67-76.",https://www.sciencedirect.com/science/article/pii/S0010027716301585,1.0,cognitive,2016,no,yes,yes,between,0
hopkins2016,rep1,chuey2019,http://rpubs.com/AaronChuey/hopkins2016writeupFinal,https://github.com/psych251/hopkins2016,yes,12,93,explanation-level -> rating,"MSD2: m1=1.616228 (.6715864), m2=1.424242 (.7356782)",no,0,0,0,very close,NA,NA,NA,TRUE,Hopkins et al. 2016,NA,pred_int,Cognition,"Hopkins, E. J., Weisberg, D. S., & Taylor, J. C. (2016). The seductive allure is a reductive allure: People prefer scientific explanations that contain logically irrelevant reductive information. Cognition, 155, 67-76.",https://www.sciencedirect.com/science/article/pii/S0010027716301585,1.0,cognitive,2016,no,yes,yes,between,0
hopkins2016,rescue,chiu2023,https://rpubs.com/howardchiu/hopkins2016rescue_forpublication,https://github.com/psych251/hopkins2016_rescue,yes,12,161,explanation-level -> rating,"MSD2: m1=1.177984 (.6890454), m2=1.355208 (.7170742)",yes,0,0,0,very close,https://osf.io/4hxya,"key effect in paper is a coefficient in lm, but for SMD we calculate raw effect without model",608,TRUE,Hopkins et al. 2016,NA,pred_int,Cognition,"Hopkins, E. J., Weisberg, D. S., & Taylor, J. C. (2016). The seductive allure is a reductive allure: People prefer scientific explanations that contain logically irrelevant reductive information. Cognition, 155, 67-76.",https://www.sciencedirect.com/science/article/pii/S0010027716301585,1.0,cognitive,2016,no,yes,yes,between,0
jara-ettinger2022,original,jara-ettinger2022,https://pubmed.ncbi.nlm.nih.gov/35343743/,NA,yes,1,144,preference for shape match > chance??,"rawprop: 99 / 144, chance=1/3",NA,NA,NA,NA,NA,NA,us adult sample only,NA,TRUE,Jara-Ettinger et al. 2022,NA,pred_int,JEP:G,"Jara-Ettinger, J., Levy, R., Sakel, J., Huanca, T., & Gibson, E. (2022). The origins of the shape bias: Evidence from the Tsimane’. Journal of Experimental Psychology: General.",https://psycnet.apa.org/record/2022-45689-001,5.0,cognitive,2022,no,no,yes,between,0
jara-ettinger2022,rep1,abdelrahim2022,https://rpubs.com/SamahAbdelrahim/960652,https://github.com/psych251/jara-ettinger2022,yes,1,142,preference for shape match > chance??,"rawprop: 88/142, chance = 1/3",yes,0.5,0.75,0.5,exact,NA,us adult sample only; note that original write-up is messy and includes pilot data -- reanalyzed to get correct counts,NA,TRUE,Jara-Ettinger et al. 2022,NA,pred_int,JEP:G,"Jara-Ettinger, J., Levy, R., Sakel, J., Huanca, T., & Gibson, E. (2022). The origins of the shape bias: Evidence from the Tsimane’. Journal of Experimental Psychology: General.",https://psycnet.apa.org/record/2022-45689-001,5.0,cognitive,2022,no,no,yes,between,0
jara-ettinger2022,rescue,chen_e2023,https://rpubs.com/echen/1131806,https://github.com/psych251/jara-ettinger2022_rescue,yes,1,426,preference for shape match > chance??,"rawprop: 191/426, chance=1/3",yes,0.5,0.75,0.75,exact,https://osf.io/trb42,note that chance is 1/3,199.47,TRUE,Jara-Ettinger et al. 2022,NA,pred_int,JEP:G,"Jara-Ettinger, J., Levy, R., Sakel, J., Huanca, T., & Gibson, E. (2022). The origins of the shape bias: Evidence from the Tsimane’. Journal of Experimental Psychology: General.",https://psycnet.apa.org/record/2022-45689-001,5.0,cognitive,2022,no,no,yes,between,0
krauss2003,original,krauss2003,https://psycnet.apa.org/record/2003-04933-002,NA,no,1,101,difference in pct correct justifications between control and guided,"prop: 2/67, 13/34",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Krauss & Wang 2003,NA,exp,JEP:G,"Krauss, S., & Wang, X. T. (2003). The psychology of the Monty Hall problem: discovering psychological mechanisms for solving a tenacious brain teaser. Journal of Experimental Psychology: General, 132(1), 3.",https://psycnet.apa.org/record/2003-04933-002,1.0,cognitive,2003,no,no,yes,between,1
krauss2003,rep1,wilcox2018,https://rpubs.com/JohnEpisteme/433652,https://github.com/psych251/krauss2003,yes,1,19,difference in pct correct justifications between control and guided,"prop: 0/8, 0/11",no,0,0,0,close,https://osf.io/n3abr,"can't draw explanation, only write",NA,TRUE,Krauss & Wang 2003,NA,exp,JEP:G,"Krauss, S., & Wang, X. T. (2003). The psychology of the Monty Hall problem: discovering psychological mechanisms for solving a tenacious brain teaser. Journal of Experimental Psychology: General, 132(1), 3.",https://psycnet.apa.org/record/2003-04933-002,1.0,cognitive,2003,no,no,yes,between,1
krauss2003,rescue,kemmann2023,https://rpubs.com/kemmann/krauss2003replication,https://github.com/psych251/krauss2003_rescue,yes,1,75,difference in pct correct justifications between control and guided,"prop: 1/40, 6/35",yes,1,1,1,very close,https://osf.io/5tqxd,NA,429.31,TRUE,Krauss & Wang 2003,NA,exp,JEP:G,"Krauss, S., & Wang, X. T. (2003). The psychology of the Monty Hall problem: discovering psychological mechanisms for solving a tenacious brain teaser. Journal of Experimental Psychology: General, 132(1), 3.",https://psycnet.apa.org/record/2003-04933-002,1.0,cognitive,2003,no,no,yes,between,1
ngo2019,additional,ngo2021,https://www.tandfonline.com/doi/full/10.1080/09658211.2021.1974047,NA,yes,144,32,dependency > 0,"MSE1: m1=.07 (.01), comp=0",yes,NA,NA,NA,exact,NA,young adult sample only,NA,TRUE,Ngo et al. 2019,NA,stats,Psych Sci,"Ngo, C. T., Horner, A. J., Newcombe, N. S., & Olson, I. R. (2019). Development of holistic episodic recollection. Psychological science, 30(12), 1696-1706.",https://journals.sagepub.com/doi/full/10.1177/0956797619879441,1 (younger adults only),cognitive,2019,no,yes,yes,within,0
ngo2019,original,ngo2019,https://journals.sagepub.com/doi/full/10.1177/0956797619879441,NA,no,144,31,dependency > 0,"MSE1: m1=.07 (.01), comp=0",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Ngo et al. 2019,NA,stats,Psych Sci,"Ngo, C. T., Horner, A. J., Newcombe, N. S., & Olson, I. R. (2019). Development of holistic episodic recollection. Psychological science, 30(12), 1696-1706.",https://journals.sagepub.com/doi/full/10.1177/0956797619879441,1 (younger adults only),cognitive,2019,no,yes,yes,within,0
ngo2019,rep1,schwartz2021,https://rpubs.com/shawnschwartz/psych251,https://github.com/psych251/ngo2019,yes,144,12,dependency > 0,"MSE1: m1=.04 (.07), comp=0",yes,0,0,0,very close,https://osf.io/t3rpq,"only adult sample, skipping verbal intelligence measure; accuracy differences ? online sample?",NA,TRUE,Ngo et al. 2019,NA,stats,Psych Sci,"Ngo, C. T., Horner, A. J., Newcombe, N. S., & Olson, I. R. (2019). Development of holistic episodic recollection. Psychological science, 30(12), 1696-1706.",https://journals.sagepub.com/doi/full/10.1177/0956797619879441,1 (younger adults only),cognitive,2019,no,yes,yes,within,0
ngo2019,rescue,tung2023,https://rpubs.com/sstung/replication_rescue_ngo19,https://github.com/psych251/ngo19_rescue,yes,144,77,one sample t test for dependency > 0,"MSE1: m1=.05 (.06), comp=0",yes,1,1,1,very close,https://osf.io/2svg9,also has other stats such as sd and t-test,386.29,TRUE,Ngo et al. 2019,NA,stats,Psych Sci,"Ngo, C. T., Horner, A. J., Newcombe, N. S., & Olson, I. R. (2019). Development of holistic episodic recollection. Psychological science, 30(12), 1696-1706.",https://journals.sagepub.com/doi/full/10.1177/0956797619879441,1 (younger adults only),cognitive,2019,no,yes,yes,within,0
paxton2012,original,paxton2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1551-6709.2011.01210.x,NA,yes,3,92,order -> rating,t(90) = 2.03,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Paxton et al. 2012,NA,stats,Cognitive Science,"Paxton, J. M., Ungar, L., & Greene, J. D. (2012). Reflection and reasoning in moral judgment. Cognitive science, 36(1), 163-177.",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1551-6709.2011.01210.x,1.0,cognitive,2012,no,no,no,between,0
paxton2012,rep1,fereday2019,http://rpubs.com/bfereday/561030,https://github.com/psych251/paxton2012,yes,3,82,order -> rating,t(80)=-0.35568,no,0,0,0,close,NA,NA,NA,TRUE,Paxton et al. 2012,NA,stats,Cognitive Science,"Paxton, J. M., Ungar, L., & Greene, J. D. (2012). Reflection and reasoning in moral judgment. Cognitive science, 36(1), 163-177.",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1551-6709.2011.01210.x,1.0,cognitive,2012,no,no,no,between,0
paxton2012,rescue,pereira2023,https://rpubs.com/pereiraak/1178341,https://github.com/psych251/paxton2012_rescue,yes,3,160,CRT order on acceptability,t(158)=-1.1216,no,0,0.25,0,close,https://osf.io/dvwrz,high exclusion rates (anticipated),434.93,TRUE,Paxton et al. 2012,NA,stats,Cognitive Science,"Paxton, J. M., Ungar, L., & Greene, J. D. (2012). Reflection and reasoning in moral judgment. Cognitive science, 36(1), 163-177.",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1551-6709.2011.01210.x,1.0,cognitive,2012,no,no,no,between,0
payne2008,additional,denis2022,https://www.pnas.org/doi/pdf/10.1073/pnas.2202657119,NA,yes,192,280,"condition x valence -> general objects (sleep neg, sleep neutral, wake neg, wake neutral)","F(1,270)=.00967502",yes,NA,NA,NA,close,NA,"they don't report the specific contrast we want, and do overall and specific but not general recognition",NA,TRUE,Payne et al. 2008,NA,stats,Psych Sci,"Payne, J. D., Stickgold, R., Swanberg, K., & Kensinger, E. A. (2008). Sleep preferentially enhances memory for emotional components of scenes. Psychological science, 19(8), 781-788.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2008.02157.x,1.0,other-psych,2008,no,no,no,between,0
payne2008,original,payne2008,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2008.02157.x,NA,no,192,48,condition x valence -> general objects,"F(1, 46) = 11.5",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Payne et al. 2008,NA,stats,Psych Sci,"Payne, J. D., Stickgold, R., Swanberg, K., & Kensinger, E. A. (2008). Sleep preferentially enhances memory for emotional components of scenes. Psychological science, 19(8), 781-788.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2008.02157.x,1.0,other-psych,2008,no,no,no,between,0
payne2008,rep1,zhang2018,https://rpubs.com/jxzhang/psych251_report,https://github.com/psych251/payne2008,yes,192,23,condition x valence -> general objects,"F(1, 21) = 2.34",yes,0,0,0,far,https://osf.io/mj7nd,sleep study might replicate worse on mturk; participants self-assigned condition versus original randomization,NA,TRUE,Payne et al. 2008,NA,stats,Psych Sci,"Payne, J. D., Stickgold, R., Swanberg, K., & Kensinger, E. A. (2008). Sleep preferentially enhances memory for emotional components of scenes. Psychological science, 19(8), 781-788.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2008.02157.x,1.0,other-psych,2008,no,no,no,between,0
payne2008,rescue,ogunbamowo2023,https://rpubs.com/vboyce/payne2008_rescue,https://github.com/psych251/payne2008_rescue,yes,192,23,condition x valence -> general objects,"F(1,21)=0.716974594",yes,0,0.25,0,very close,https://osf.io/q8rv2,"difficulty with recruitment; note that rescue student considered 3x most important (versus 2-way on ""objects"" only, which rep did)",298.65,TRUE,Payne et al. 2008,NA,stats,Psych Sci,"Payne, J. D., Stickgold, R., Swanberg, K., & Kensinger, E. A. (2008). Sleep preferentially enhances memory for emotional components of scenes. Psychological science, 19(8), 781-788.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2008.02157.x,1.0,other-psych,2008,no,no,no,between,0
porter2016,original,porter2016,https://journals.sagepub.com/doi/abs/10.1177/0956797615612202,NA,yes,1,145,"in 3-way anova, effect of libcat on shared group membership","F(1, 121) = 8.67",NA,NA,NA,NA,NA,NA,"issue is that the models are 2x2x3! so not effect size amenable; rep 1 thought the ""key"" interaction was the 3-way on friendship;  switching to what the *rescuer* thought was the key test was which is the main effect of LIB-cat (target manipulation)  in the 3-way on  shared category membership (""The focus here is to examine if the LIB conditions influence inferences about the likelihood of shared category membership between the target and communicator. "")",NA,TRUE,Porter et al. 2016,NA,exp,Psych Sci,"Porter, S. C., Rheinschmidt-Same, M., & Richeson, J. A. (2016). Inferring identity from language: Linguistic intergroup bias informs social categorization. Psychological science, 27(1), 94-102.",https://journals.sagepub.com/doi/abs/10.1177/0956797615612202,3.0,social,2016,no,yes,yes,between,1
porter2016,rep1,guo2016,http://rpubs.com/sansiropp/261171,https://github.com/StanfordPsych254/Porter2016,yes,1,168,"in 3-way anova, effect of libcat on shared group membership","F(1,157)=.59",no,0,0,0,close,NA,NA,NA,TRUE,Porter et al. 2016,NA,exp,Psych Sci,"Porter, S. C., Rheinschmidt-Same, M., & Richeson, J. A. (2016). Inferring identity from language: Linguistic intergroup bias informs social categorization. Psychological science, 27(1), 94-102.",https://journals.sagepub.com/doi/abs/10.1177/0956797615612202,3.0,social,2016,no,yes,yes,between,1
porter2016,rescue,chen_z2023,https://rpubs.com/zwc1701/1166987,https://github.com/psych251/porter_2016_1_rescue,yes,1,136,"in 3-way anova, effect of libcat on shared group membership","F(1,124)=8.041",yes,0.5,0.75,0.75,close,https://osf.io/eu3jk,reports manipulation check failed,234.67,TRUE,Porter et al. 2016,NA,exp,Psych Sci,"Porter, S. C., Rheinschmidt-Same, M., & Richeson, J. A. (2016). Inferring identity from language: Linguistic intergroup bias informs social categorization. Psychological science, 27(1), 94-102.",https://journals.sagepub.com/doi/abs/10.1177/0956797615612202,3.0,social,2016,no,yes,yes,between,1
schechtman2010,original,schechtman2010,https://www.jneurosci.org/content/30/31/10460.short,NA,no,84,22,valence x distance --> match,t(1567)=-4.941,NA,NA,NA,NA,NA,NA,"original paper reports only approximate p-value for an ""ANOVA"", we got data and got the t-stat from a linear model to match what reps did, but represents same value",NA,TRUE,Schechtman et al. 2010,NA,exp,Journal of Neuroscience,"Schechtman, E., Laufer, O., & Paz, R. (2010). Negative valence widens generalization of learning. Journal of Neuroscience, 30(31), 10460-10464.",https://www.jneurosci.org/content/30/31/10460.short,1.0,cognitive,2010,no,no,no,within,0
